Mun,expuestos,frec_rain,frec_over_avg
ALVARO OBREGON,64287.71582,0.172933557,0.917114357
AZCAPOTZALCO,55693.86902,0.092742205,0.491837495
BENITO JUAREZ,72657.88215,0.177173587,0.939600406
COYOACAN,45028.00009,0.229590653,1.21758257
CUAJIMALPA DE MORELOS,15554.16919,0.229341477,1.216261121
CUAUHTEMOC,52917.14777,0.22085414,1.171250432
GUSTAVO A MADERO,58846.82082,0.165972602,0.880198494
IZTACALCO,21880.68889,0.184628531,0.979136034
IZTAPALAPA,55210.73201,0.210170249,1.114590811
LA MAGDALENA CONTRERAS,14742.41553,0.108990514,0.57800676
MIGUEL HIDALGO,59804.24533,0.238464999,1.264645673
MILPA ALTA,2989.04204,0.069747635,0.369890951
TLAHUAC,8626.82184,0.156729576,0.831180178
TLALPAN,34823.37781,0.220626457,1.170042965
VENUSTIANO CARRANZA,24878.21037,0.246199108,1.305661788
XOCHIMILCO,15478.41028,0.15503733,0.822205728